!#Experiment  Id= 2.3:
!Initial Temp=850 C
!Cylinder(50,150)
!Quenchant=Isorapid227HM
!time	t1	t2	t3	t4
253.5	65.394538	88.797311	104.294943	89.921403
254	65.286325	88.461211	104.042182	89.749365
254.5	65.165786	88.122455	103.786971	89.57801
255	65.043002	87.820046	103.550971	89.379976
255.5	64.846718	87.577734	103.300787	89.182179
256	64.654905	87.360093	103.042064	89.007042
256.5	64.50835	87.242649	102.81585	88.87093
257	64.3963	87.138655	102.561024	88.739309
257.5	64.287608	87.00665	102.315699	88.621369
258	64.210961	86.913869	102.070856	88.477202
258.5	64.129382	86.782992	101.834382	88.32497
259	64.045336	86.641812	101.597034	88.166019
259.5	63.93977	86.471058	101.376165	88.035994
260	63.835098	86.296726	101.11814	87.849932
260.5	63.718318	86.121506	100.889436	87.666794
261	63.590326	85.958617	100.649043	87.470217
261.5	63.453587	85.81657	100.424446	87.287322
262	63.343967	85.660189	100.193116	87.136038
262.5	63.275816	85.56251	99.966315	86.957642
263	63.168432	85.435711	99.741115	86.785305
263.5	63.13301	85.264783	99.504906	86.620595
264	63.094897	85.062278	99.274801	86.463511
264.5	63.043107	84.928997	99.038418	86.287163
265	62.979659	84.773992	98.818942	86.135246
265.5	62.893563	84.620785	98.612092	86.003948
266	62.826748	84.506331	98.360477	85.863467
266.5	62.713518	84.349773	98.141744	85.72456
267	62.623154	84.177543	97.929332	85.592379
267.5	62.534582	84.018309	97.682519	85.440263
268	62.460359	83.888865	97.475099	85.309211
268.5	62.403625	83.755841	97.24498	85.192499
269	62.369539	83.612072	97.03895	85.057422
269.5	62.294414	83.461813	96.812923	84.928621
270	62.2231	83.280209	96.589391	84.759281
270.5	62.125544	83.102418	96.381171	84.602491
271	62.034714	82.939186	96.174992	84.419725
271.5	61.941862	82.793424	95.953095	84.282431
272	61.841605	82.704984	95.76696	84.09699
272.5	61.776784	82.59617	95.5451	83.944253
273	61.696933	82.476836	95.313372	83.735758
273.5	61.619771	82.278697	95.133129	83.567357
274	61.527353	82.09534	94.923687	83.390452
274.5	61.432016	81.949823	94.705049	83.233481
275	61.357987	81.710062	94.518784	83.088159
275.5	61.281489	81.5115	94.283782	82.938139
276	61.172458	81.334209	94.090135	82.772002
276.5	61.030441	81.180875	93.901445	82.576539
277	60.852292	81.077236	93.684018	82.432578
277.5	60.716765	80.933084	93.510629	82.295784
278	60.598734	80.852727	93.304464	82.174217
278.5	60.469926	80.735886	93.101908	82.020862
279	60.322484	80.588831	92.897122	81.880048
279.5	60.175706	80.436631	92.71907	81.748415
280	60.068647	80.264066	92.528906	81.588131
280.5	59.949911	80.104262	92.334041	81.445759
281	59.808723	79.900595	92.125272	81.295332
281.5	59.69581	79.661124	91.941209	81.158562
282	59.613424	79.488127	91.752894	81.038583
282.5	59.511054	79.308867	91.561898	80.924874
283	59.457398	79.155122	91.355206	80.780948
283.5	59.397903	78.989295	91.18376	80.644188
284	59.332794	78.921264	90.996168	80.498478
284.5	59.27352	78.825708	90.788843	80.330165
285	59.173156	78.752307	90.615186	80.210199
285.5	59.086485	78.671299	90.422021	80.053977
286	59.011262	78.567689	90.242777	79.923048
286.5	58.897412	78.450653	90.042458	79.789883
287	58.818366	78.283717	89.870862	79.624941
287.5	58.754812	78.056812	89.681109	79.439412
288	58.661162	77.887419	89.500786	79.283874
288.5	58.59693	77.758753	89.328772	79.131025
289	58.52214	77.624495	89.136808	78.998766
289.5	58.455433	77.496278	88.95091	78.881279
290	58.382884	77.400732	88.782512	78.770953
290.5	58.306739	77.292879	88.612777	78.64944
291	58.227895	77.171602	88.421976	78.525019
291.5	58.144107	77.004007	88.240153	78.412012
292	58.064359	76.696567	88.073135	78.329886
292.5	57.992021	76.448648	87.900746	78.239258
293	57.912043	76.24481	87.717157	78.155343
293.5	57.835656	76.102729	87.540077	78.087093
294	57.734103	76.017032	87.361438	77.996019
294.5	57.65726	75.882782	87.188858	77.900022
295	57.564012	75.757706	87.032423	77.805816
295.5	57.467613	75.661718	86.844844	77.687221
296	57.375929	75.543578	86.666686	77.567507
296.5	57.298624	75.402169	86.487192	77.448241
297	57.216821	75.272171	86.326528	77.318236
297.5	57.154118	75.140159	86.161613	77.181967
298	57.086468	75.019335	85.987968	77.067626
298.5	57.001285	74.927374	85.819482	76.937847
299	56.922842	74.867409	85.642938	76.797105
299.5	56.853836	74.792005	85.506279	76.667104
300	56.791571	74.627773	85.313395	76.545605
300.5	56.756055	74.495089	85.165321	76.438652
301	56.727281	74.376501	84.96954	76.284934
301.5	56.665912	74.280064	84.821031	76.148893
302	56.62275	74.183627	84.659086	76.005693
302.5	56.562726	74.120976	84.505211	75.876365
303	56.468078	73.989857	84.329392	75.754198
303.5	56.365331	73.850681	84.161866	75.592875
304	56.270224	73.693829	84.011366	75.466009
304.5	56.186355	73.540331	83.864902	75.337354
305	56.116873	73.440311	83.705454	75.207356
305.5	56.048288	73.341186	83.537278	75.095929
306	55.990046	73.210733	83.377168	74.969958
306.5	55.923705	73.111383	83.227363	74.84891
307	55.85174	72.99167	83.050022	74.75583
307.5	55.806761	72.840852	82.901346	74.653352
308	55.755933	72.71778	82.750659	74.572579
308.5	55.730518	72.606119	82.606021	74.454886
309	55.661919	72.49938	82.452656	74.340325
309.5	55.625257	72.416137	82.284741	74.199809
310	55.544959	72.334907	82.120862	74.05974
310.5	55.494573	72.225481	81.982956	73.91788
311	55.461282	72.142236	81.850873	73.786759
311.5	55.394473	72.054067	81.676259	73.681147
312	55.330361	71.965898	81.529185	73.569716
312.5	55.252074	71.843041	81.378979	73.451124
313	55.189532	71.702952	81.229673	73.346181
313.5	55.108315	71.553909	81.088204	73.256229
314	55.041493	71.415158	80.93286	73.140544
314.5	54.949693	71.316018	80.769909	73.025978
315	54.909417	71.198077	80.649936	72.929983
315.5	54.860589	71.064692	80.492139	72.871804
316	54.81266	70.921906	80.352251	72.804674
316.5	54.754153	70.784713	80.211022	72.744033
317	54.714098	70.655798	80.074495	72.653183
317.5	54.647486	70.514795	79.921186	72.563451
318	54.59325	70.390353	79.775488	72.451789
318.5	54.526184	70.322983	79.61614	72.342364
319	54.497827	70.239945	79.482756	72.253973
319.5	54.432108	70.162277	79.340422	72.153273
320	54.395871	70.054168	79.208832	72.064881
320.5	54.345904	69.976275	79.070306	71.96776
321	54.266223	69.897486	78.936258	71.889213
321.5	54.215577	69.794522	78.790798	71.797237
322	54.13544	69.714835	78.655634	71.727416
322.5	54.063629	69.641639	78.510401	71.636335
323	54.013428	69.522106	78.395828	71.554428
323.5	53.941386	69.427642	78.25485	71.450142
324	53.88893	69.302284	78.102014	71.343616
324.5	53.843451	69.199758	77.959473	71.244922
325	53.760595	69.072382	77.847812	71.11042
325.5	53.699802	69.004551	77.703036	71.003219
326	53.635628	68.93269	77.566987	70.895569
326.5	53.562445	68.880976	77.438324	70.766208
327	53.489485	68.818963	77.301606	70.671984
327.5	53.435438	68.738145	77.17742	70.523596
328	53.368327	68.645684	77.042941	70.407883
328.5	53.309546	68.518071	76.92972	70.265085
329	53.255944	68.424934	76.774881	70.161902
329.5	53.191754	68.29978	76.639062	70.061627
330	53.130714	68.184249	76.519578	69.95486
330.5	53.091072	68.087749	76.398304	69.83578
331	53.015387	67.979379	76.249733	69.749154
331.5	53.002322	67.895189	76.12488	69.618431
332	52.974615	67.79913	76.014347	69.495764
332.5	52.943979	67.741136	75.872042	69.37869
333	52.920777	67.65963	75.758377	69.260048
333.5	52.893068	67.548787	75.617415	69.13894
334	52.834046	67.422043	75.505541	69.017383
334.5	52.797325	67.284547	75.360328	68.920897
335	52.729963	67.17504	75.237714	68.822394
335.5	52.688282	67.066873	75.11577	68.725904
336	52.632407	66.943252	74.999868	68.664338
336.5	52.570896	66.8362	74.86987	68.592472
337	52.510059	66.727801	74.754192	68.519934
337.5	52.477162	66.615145	74.652162	68.451201
338	52.450798	66.499126	74.515227	68.369034
338.5	52.40866	66.351521	74.387017	68.288209
339	52.395139	66.227879	74.277155	68.216787
339.5	52.339253	66.149705	74.149169	68.142229
340	52.311761	66.048457	74.039306	68.086701
340.5	52.287197	66.005	73.917137	67.99199
