!#Experiment  Id= 1.3:
!Initial Temp=850 C
!Cylinder(25,100)
!Quenchant=Isorapid227HM
!t	TC_1	TC_2	TC_3	TC_4
254	41.569049	43.915558	44.834782	45.307051
254.5	41.552694	43.887218	44.805557	45.278969
255	41.54338	43.84346	44.769534	45.260398
255.5	41.508396	43.840059	44.718783	45.209214
256	41.50408	43.795846	44.683437	45.168899
256.5	41.482499	43.774306	44.644692	45.135378
257	41.467051	43.732358	44.608211	45.112502
257.5	41.42843	43.713311	44.575582	45.076488
258	41.44615	43.673855	44.542725	45.049307
258.5	41.420251	43.628502	44.477915	45.003324
259	41.396624	43.597888	44.462958	44.972517
259.5	41.382538	43.552305	44.433724	44.950091
260	41.376176	43.527812	44.409702	44.918376
260.5	41.362318	43.504226	44.364376	44.89391
261	41.334599	43.463176	44.334233	44.858343
261.5	41.317786	43.416681	44.293891	44.828438
262	41.283932	43.387876	44.270092	44.801252
262.5	41.285977	43.365648	44.233601	44.769534
263	41.296883	43.331171	44.204588	44.732377
263.5	41.272344	43.299189	44.167188	44.682531
264	41.263937	43.28263	44.12684	44.639254
264.5	41.243487	43.23023	44.100998	44.600734
265	41.230308	43.200287	44.065409	44.562666
265.5	41.221219	43.176467	44.01939	44.540912
266	41.191452	43.14743	43.99672	44.518931
266.5	41.19327	43.157865	43.981984	44.484033
267	41.199633	43.104553	43.947525	44.454347
267.5	41.167593	43.083681	43.918959	44.420354
268	41.151459	43.053734	43.889032	44.396331
268.5	41.125326	43.038306	43.851169	44.35871
269	41.132826	43.02855	43.813078	44.318368
269.5	41.101466	43.005635	43.799927	44.292077
270	41.100784	42.988165	43.746189	44.257173
270.5	41.085331	42.948912	43.717165	44.216148
271	41.078059	42.916239	43.687007	44.204135
271.5	41.061469	42.896952	43.65526	44.173762
272	41.048743	42.852024	43.645736	44.12616
272.5	41.032153	42.82956	43.594259	44.081957
273	41.033744	42.799833	43.58224	44.053621
273.5	41.018517	42.77351	43.540966	44.035712
274	41.009427	42.756036	43.529853	44.012362
274.5	41.005336	42.710876	43.495381	43.990826
275	40.998518	42.687728	43.469526	43.955233
275.5	40.982154	42.646196	43.432784	43.924854
276	40.973972	42.640749	43.416001	43.881324
276.5	40.941699	42.626224	43.383113	43.859785
277	40.930335	42.609883	43.360658	43.831897
277.5	40.933744	42.57652	43.339791	43.804009
278	40.915562	42.563129	43.301457	43.775893
278.5	40.90988	42.541113	43.264937	43.748457
279	40.899879	42.525905	43.237489	43.726689
279.5	40.886924	42.503662	43.218888	43.709002
280	40.858967	42.471884	43.182592	43.67
280.5	40.848511	42.462351	43.155824	43.670907
281	40.834419	42.433296	43.144707	43.613081
281.5	40.827599	42.410823	43.115215	43.595166
282	40.8351	42.379951	43.104099	43.566592
282.5	40.816916	42.372233	43.048062	43.54913
283	40.791685	42.344085	43.046927	43.523957
283.5	40.798732	42.327967	43.016299	43.488804
284	40.798277	42.298682	42.987938	43.463856
284.5	40.779865	42.270077	42.971148	43.459547
285	40.782138	42.238066	42.948912	43.410784
285.5	40.759407	42.226942	42.923727	43.393773
286	40.757361	42.197882	42.901944	43.378577
286.5	40.753497	42.163144	42.878119	43.340925
287	40.733947	42.135445	42.844309	43.326635
287.5	40.731447	42.10343	42.825248	43.299415
288	40.729174	42.103884	42.801421	43.283764
288.5	40.7244	42.090715	42.780544	43.253368
289	40.709851	42.055748	42.75649	43.235448
289.5	40.679617	42.040761	42.733796	43.202782
290	40.675297	42.025548	42.713145	43.181912
290.5	40.680981	42.002841	42.685912	43.152421
291	40.674615	41.982858	42.668437	43.127239
291.5	40.660293	41.945162	42.640976	43.102738
292	40.648245	41.944027	42.614876	43.061674
292.5	40.654837	41.927222	42.593769	43.036264
293	40.640061	41.901788	42.581513	43.020836
293.5	40.643471	41.889298	42.557454	42.995425
294	40.623692	41.875899	42.525905	42.978862
294.5	40.615735	41.851599	42.511379	42.960484
295	40.608687	41.832068	42.473473	42.926903
295.5	40.598457	41.842742	42.456449	42.910113
296	40.59823	41.807995	42.445553	42.88243
296.5	40.57072	41.804361	42.42013	42.865866
297	40.574813	41.770975	42.394934	42.832283
