!#Experiment  Id= 2.1:
!Initial Temp=850 C
!Cylinder(50,150)
!Quenchant=Aquatensid BW (5%)
!t	TC_1	TC_2	TC_3	TC_4
157	40.725691	48.982181	74.146931	49.785024
157.5	40.668177	48.854344	73.688459	49.604208
158	40.615662	48.724689	73.253248	49.43398
158.5	40.590881	48.548483	72.799902	49.324699
159	40.544956	48.388975	72.359522	49.249281
159.5	40.520401	48.271026	71.927184	49.133888
160	40.471745	48.169339	71.514298	49.036328
160.5	40.450826	48.108549	71.077449	48.900365
161	40.432409	47.925711	70.684446	48.798271
161.5	40.405578	47.808175	70.267027	48.677421
162	40.393981	47.713913	69.880699	48.547523
162.5	40.365557	47.605177	69.46592	48.439529
163	40.323034	47.471335	69.073053	48.321812
163.5	40.307344	47.338384	68.67434	48.209507
164	40.256859	47.22012	68.293287	48.070752
164.5	40.211603	47.129662	67.908848	47.991651
165	40.183174	47.019521	67.538711	47.908703
165.5	40.132229	46.893086	67.169217	47.80405
166	40.131774	46.773877	66.814699	47.709788
166.5	40.081509	46.685199	66.441339	47.613033
167	40.034654	46.499454	66.095945	47.520793
167.5	39.984385	46.439267	65.73484	47.410006
168	39.954814	46.312551	65.398571	47.265291
168.5	39.933203	46.229725	65.047931	47.18456
169	39.880655	46.113173	64.721907	47.070353
169.5	39.882475	46.011775	64.393835	46.952291
170	39.843801	45.918971	64.03906	46.878554
170.5	39.795116	45.77432	63.721456	46.793276
171	39.766677	45.661802	63.39463	46.669081
171.5	39.722084	45.56603	63.06194	46.554604
172	39.699332	45.462325	62.757465	46.441022
172.5	39.668616	45.360876	62.437486	46.278324
173	39.634713	45.242434	62.157839	46.159966
173.5	39.620833	45.134853	61.842278	46.033222
174	39.590115	45.04561	61.538569	45.921858
174.5	39.537323	44.970632	61.242229	45.81705
175	39.503417	44.87662	60.969414	45.715629
175.5	39.488625	44.756094	60.683107	45.659935
176	39.455627	44.659574	60.367593	45.53518
176.5	39.436283	44.534947	60.096703	45.422415
177	39.39896	44.432745	59.837006	45.293108
177.5	39.39327	44.313536	59.526095	45.175339
178	39.367553	44.2673	59.283175	45.060277
178.5	39.382346	44.228768	59.033941	44.987565
179	39.339559	44.197489	58.759752	44.939088
179.5	39.338193	44.119967	58.497209	44.871127
180	39.316799	44.018637	58.24025	44.843262
180.5	39.294949	43.956067	57.978317	44.763061
181	39.286755	43.898255	57.726688	44.684215
181.5	39.269229	43.837039	57.455703	44.622358
182	39.274465	43.765843	57.230754	44.601058
182.5	39.252841	43.691242	56.987125	44.510645
183	39.2253	43.620492	56.73987	44.418865
183.5	39.19275	43.555407	56.512143	44.319372
184	39.198668	43.472175	56.270673	44.211032
184.5	39.181368	43.393247	56.032322	44.139632
185	39.164979	43.323159	55.795291	44.085682
185.5	39.135614	43.240138	55.601191	44.005206
186	39.108525	43.216547	55.364555	43.952157
186.5	39.112395	43.149625	55.135537	43.872126
187	39.091452	43.132838	54.936418	43.849453
187.5	39.052523	43.040956	54.700371	43.79413
188	39.051157	42.964722	54.485448	43.723385
188.5	39.04023	42.875777	54.280629	43.670551
189	39.024066	42.781379	54.072184	43.636083
189.5	39.003349	42.727596	53.876097	43.559206
190	38.99743	42.668364	53.667828	43.508406
190.5	38.97011	42.605044	53.467866	43.460325
191	38.960547	42.528102	53.283195	43.391149
191.5	38.962141	42.505858	53.083864	43.334898
192	38.962824	42.413701	52.893744	43.297018
192.5	38.955538	42.36762	52.706757	43.261859
193	38.938235	42.317678	52.528761	43.213315
193.5	38.929128	42.254566	52.323028	43.147981
194	38.92207	42.221647	52.135299	43.087182
194.5	38.891333	42.178964	51.973244	43.021842
195	38.883136	42.096091	51.787277	42.959447
195.5	38.884274	42.034785	51.602867	42.876402
196	38.906132	41.990505	51.443012	42.804696
196.5	38.885185	41.902396	51.269159	42.769296
197	38.849665	41.878778	51.088296	42.724817
197.5	38.871296	41.817687	50.945529	42.667854
198	38.859228	41.765451	50.748386	42.610889
198.5	38.831449	41.750007	50.585058	42.532358
199	38.851942	41.695269	50.435476	42.496042
199.5	38.829628	41.640983	50.278883	42.427492
200	38.839419	41.607592	50.11257	42.400252
