!#Experiment  Id= 3.2:
!Initial Temp=850 C
!Cylinder(75,220)
!Quenchant= H2O
!t	t1	t2	t3	t4
145	51.333777	86.80956	252.497796	70.475751
145.5	51.231399	86.606082	251.180436	70.334746
146	51.094059	86.399701	249.86439	70.120098
146.5	50.94588	86.284975	248.576471	69.915293
147	50.791822	85.96255	247.289904	69.795989
147.5	50.659405	85.690334	246.018459	69.599457
148	50.502159	85.520069	244.740358	69.36464
148.5	50.349409	85.309487	243.463404	69.091534
149	50.194162	84.946145	242.200239	68.779462
149.5	50.086291	84.559314	240.942385	68.434238
150	49.973673	84.09749	239.712627	68.146759
150.5	49.900546	83.694158	238.48846	67.944573
151	49.810712	83.390728	237.257235	67.729841
151.5	49.714777	83.106796	236.021252	67.488451
152	49.640734	82.757948	234.825682	67.256231
152.5	49.549078	82.335015	233.616405	67.055352
153	49.445902	82.140015	232.397099	66.854241
153.5	49.420163	81.936962	231.219916	66.628707
154	49.3732	81.653326	230.018425	66.462741
154.5	49.309977	81.265165	228.85774	66.275041
155	49.20859	80.975289	227.682463	66.095173
155.5	49.087323	80.949995	226.516856	65.892448
156	48.979822	80.960963	225.366261	65.593829
156.5	48.859213	80.742949	224.18281	65.309526
157	48.727751	80.544862	223.057901	65.1267
157.5	48.629937	80.369833	221.9152	64.991143
158	48.551093	79.889081	220.79361	64.84998
158.5	48.470664	79.358226	219.660724	64.634414
159	48.421862	79.016945	218.552004	64.429367
159.5	48.355434	78.718864	217.438501	64.223188
160	48.257594	78.492847	216.340398	64.061373
160.5	48.177148	78.304204	215.229183	63.841274
161	48.084945	78.100124	214.161251	63.59202
161.5	48.019405	77.803183	213.058646	63.315396
162	47.949568	77.652813	211.978706	63.078431
162.5	47.886734	77.316722	210.916817	62.892342
163	47.823219	77.076853	209.85697	62.717902
163.5	47.777559	76.746365	208.805219	62.590317
164	47.671766	76.408273	207.73322	62.455325
164.5	47.60598	75.959653	206.710725	62.335353
165	47.533183	75.618435	205.674517	62.219412
165.5	47.466486	75.386631	204.644836	62.103466
166	47.384411	75.23202	203.628443	61.98146
166.5	47.323812	75.06667	202.613954	61.898923
167	47.259593	74.836432	201.592999	61.687861
167.5	47.209391	74.486487	200.60516	61.458387
168	47.122777	74.247297	199.614607	61.250654
168.5	47.041811	73.948586	198.633923	61.036848
169	46.905878	73.630406	197.661957	60.815619
169.5	46.799791	73.474671	196.677062	60.67448
170	46.727402	73.346233	195.715114	60.57799
170.5	46.643246	73.141939	194.749107	60.505731
171	46.583745	73.061384	193.793728	60.350886
171.5	46.466545	72.921755	192.84922	60.164384
172	46.336889	72.47668	191.920488	60.010639
172.5	46.267417	72.156011	190.967466	59.91704
173	46.172821	71.942525	190.040026	59.843416
173.5	46.088176	71.830186	189.104624	59.743749
174	46.046078	71.672865	188.181077	59.646773
174.5	45.988814	71.336507	187.267063	59.52622
175	45.915249	71.078916	186.361195	59.375576
175.5	45.852999	70.73157	185.451594	59.28779
176	45.775125	70.373243	184.541998	59.155543
176.5	45.717396	70.139347	183.644301	58.914828
177	45.679587	69.96476	182.759909	58.647138
177.5	45.63725	69.823745	181.876479	58.414679
178	45.588344	69.579534	180.965356	58.231838
178.5	45.518606	69.184436	180.089698	58.004727
179	45.459054	68.879309	179.197085	57.78096
179.5	45.405613	68.545061	178.357186	57.623906
180	45.313672	68.221317	177.483105	57.495602
180.5	45.247769	68.02406	176.632627	57.395829
181	45.185033	67.84247	175.765457	57.285489
181.5	45.119576	67.646095	174.90979	57.100078
182	45.047774	67.477702	174.075873	56.939824
182.5	44.969851	67.379172	173.239957	56.739545
183	44.89872	67.18233	172.399723	56.527555
183.5	44.842764	66.857376	171.567749	56.351741
184	44.76211	66.661407	170.734495	56.242467
184.5	44.695272	66.49589	169.899039	56.121945
185	44.613929	66.40809	169.069764	55.947218
185.5	44.547763	66.416825	168.276916	55.755832
186	44.506068	66.34739	167.448613	55.589169
186.5	44.434004	66.139077	166.642552	55.377727
187	44.385279	65.9993	165.824549	55.149836
187.5	44.337686	65.876543	165.033436	54.972543
188	44.281024	65.687248	164.256887	54.860489
188.5	44.210534	65.465907	163.463995	54.800634
189	44.127573	65.288466	162.658958	54.748427
189.5	44.081556	65.118858	161.892188	54.656388
190	43.99904	64.977699	161.116761	54.538012
190.5	43.940096	64.963583	160.339653	54.393745
191	43.865506	64.784773	159.564815	54.280079
191.5	43.793632	64.505785	158.805246	54.194768
192	43.771411	64.111129	158.060011	54.168431
192.5	43.711096	63.833654	157.252802	54.117106
193	43.645562	63.692441	156.453231	54.034264
193.5	43.581839	63.457522	155.638813	53.944663
194	43.534442	63.209806	154.881403	53.850555
194.5	43.465043	63.046371	154.131846	53.756442
195	43.394733	62.896378	153.399636	53.649489
195.5	43.308768	62.702879	152.665544	53.542079
196	43.221663	62.476404	151.923094	53.358542
196.5	43.148163	62.301715	151.223903	53.167328
197	43.070121	62.170074	150.494602	53.029253
197.5	43.012041	62.118716	149.787951	52.916622
198	42.936713	62.176802	149.072027	52.786636
198.5	42.883164	62.206405	148.349847	52.606621
199	42.829612	62.144732	147.664399	52.43898
199.5	42.799432	61.912156	146.965295	52.239996
200	42.748827	61.850477	146.276337	52.040537

